P03254 DP01928
Q06787 DP00134
P70429 DP02387
O95278 DP02647
Q0PF16 DP03085
P35052 DP03324
Q9HC35 DP02645
Q7B8V4 DP03024
Q9EPU7 DP01555
Q92743 DP03358
O86488 DP00065
P10686 DP01851
P02533 DP02605
P52298 DP00393
P07674 DP00656
P24255 DP01169
P0AGE0 DP02137
P09651 DP00324
P36952 DP03304
P07746 DP00041
P62558 DP02863
Q16595 DP00607
P34021-2 DP01569
Q15582 DP03364
P01112 DP00153
Q9M4V2 DP02008
Q62264 DP02820
Q9BYI3 DP03109
P47054 DP02145
P55957 DP01662
P20849 DP03378
P31431 DP01434
Q8XAD5 DP02878
P04050 DP02527
P61925 DP00934
P12302 DP01351
P22216 DP01182
Q96AY2 DP01877
P78953 DP02903
P87666 DP03538
Q9Y7M4 DP02065
Q96EP1 DP02729
Q22942 DP02987
P16471 DP01106
Q9WBP8 DP02491
Q09161 DP00392
P12357 DP00984
P09327 DP02510
P20444 DP01105
P00519-2 DP03168
Q8WUN7 DP02694
P08245 DP00790
Q92793 DP02004
Q9UM11 DP01524
P22473 DP02487
Q96G97 DP02471
P33322 DP02055
Q9NRR4 DP02463
Q9HAU5 DP00949
P53927 DP02808
Q96PU8 DP03276
O60508 DP03214
Q8N884 DP02876
P0A9D4 DP03341
P02671 DP02130
Q808Y3 DP02492
P9WNK3 DP00799
P16892 DP02784
Q99LM3 DP00742
O75807 DP01203
Q01970 DP02477
P11859 DP03156
Q43125 DP00474
P0C8E1 DP02321
P18615 DP02713
Q83AR4 DP01015
O15247 DP03163
P05452 DP02801
Q49492 DP01356
P14635 DP00223
Q9NQS7 DP02390
Q8N1G2 DP02611
P46531 DP01104
O95147 DP03533
Q96IZ0 DP01603
A0A3S5Y0Q5 DP02936
P09132 DP00570
P39935 DP00082
Q96SD1 DP01162
P83110 DP03380
Q9BTL3 DP02346
Q9VMA3 DP01494
P36578 DP01654
Q42512 DP01057
Q9R194 DP03127
P80870 DP00809
Q62165 DP00491
Q13542 DP01293
P22543 DP03717
Q16143 DP00555
P10071 DP01134
Q9CX60 DP00661
P20810 DP00196
Q9BQB4 DP00926
O17428 DP02331
O44326 DP03102
O66858 DP01155
P40344 DP02826
P0ABE0 DP00415
Q928V6 DP02495
P17120 DP00636
P0A7G2 DP03406
P12506 DP00842
P27986 DP01112
P63241 DP02594
P46670 DP00778
J7FTI7 DP01550
Q9Y823 DP02786
P20879 DP03560
P63027 DP00069
Q7B2Z6 DP00894
A0A0H3GD84 DP03028
Q02521 DP02917
Q9VZU1 DP01287
P12996 DP03336
P02619 DP01025
Q07820 DP03697
P03050 DP01512
P46108-2 DP00973
P01730 DP00123
Q8IW19 DP01465
P22449 DP02610
Q9UHB7 DP01463
Q682I1 DP03268
P0A6G1 DP00412
Q86FP9 DP00975
Q6P5W5 DP02554
Q61081 DP03411
Q58667 DP00619
P52597 DP01736
P0AFE0 DP03503
P22121 DP00036
P69411 DP03213
Q26997 DP02927
O00429 DP01540
P19827 DP03280
P16333 DP01114
P42512 DP00176
O31467 DP00827
P05556 DP01748
E6Y5X0 DP01763
Q9KX51 DP00851
Q7KZF4 DP03232
P35926 DP00932
P13551 DP00021
P02640 DP02511
P0DN86 DP00013
O00488 DP00549
O53168 DP02505
Q09683 DP02842
Q2TUW1 DP02205
P50498 DP02299
P22943 DP00705
P20340 DP02733
P60340 DP03060
P04324 DP00189
O60741 DP01317
P23443 DP01554
Q9SP32 DP01467
P51400 DP03065
P61073 DP01249
Q24246 DP00605
P51513 DP03453
P13693 DP01972
P05204 DP00039
P11309 DP00322
O14974 DP01163
Q9HD36 DP02676
P56621 DP01181
P27361 DP03497
P62877 DP01750
P11473 DP00184
Q03518 DP01306
P68390 DP01011
Q14258 DP03100
P98177 DP01788
Q14978 DP01178
Q2VL32 DP02946
Q9UM07 DP00321
Q14118 DP02765
P49189 DP02783
P07237 DP02637
P32521 DP02220
Q86YV5 DP02420
P04273 DP00187
P30307 DP02126
Q68J44 DP03532
S6AWC2 DP01946
P00558 DP02766
P40881 DP00110
Q07955 DP01641
P04150 DP00030
P40136 DP00395
Q8IYB3 DP02359
P16006 DP00583
P25299 DP02761
O14558 DP01131
G4NEJ8 DP00786
O54928 DP01774
Q7DD77 DP02311
P35193 DP03677
P17096 DP00040
P31327 DP03427
P28023 DP02910
Q53FT3 DP02719
O55778 DP00700
O00214 DP03345
Q9Y9L0 DP00037
Q9HB71-2 DP00907
P28583 DP00561
P0ABJ1 DP00089
P22362 DP00644
Q1PAB4 DP01087
Q90VU7 DP02897
Q06696 DP01611
Q02948 DP03715
O95149 DP01874
P27797 DP00333
Q8IUQ4 DP02608
P28300 DP02075
P10674 DP03481
Q12888 DP02954
Q01853 DP00435
P00127 DP00853
O95718 DP01764
P24937 DP00808
P06492 DP01642
O14832 DP00327
A0KJC7 DP02499
P56210 DP00512
P0DOF3 DP03567
C6KSX0 DP01574
A6NI73 DP02812
Q16647 DP02578
